Scenario: Complex_LOS-23-12-2022, Model: gru, Number_CIR: 12, Length_CIR: 100, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9333333333333333, 'Sitting Still': 1.0, 'Standing Still': 1.0, 'Standing Up': 1.0, 'Walking': 1.0, 'Waving arms': 0.9696969696969697}, Overall Accuracy: 98.76033067703247%
Scenario: Complex_LOS-23-12-2022, Model: gru, Number_CIR: 12, Length_CIR: 125, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9655172413793104, 'Sitting Still': 1.0, 'Standing Still': 0.9666666666666667, 'Standing Up': 1.0, 'Walking': 1.0, 'Waving arms': 1.0}, Overall Accuracy: 99.17355179786682%
Scenario: Complex_LOS-23-12-2022, Model: gru, Number_CIR: 12, Length_CIR: 150, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9310344827586207, 'Sitting Still': 1.0, 'Standing Still': 0.9666666666666667, 'Standing Up': 0.975609756097561, 'Walking': 1.0, 'Waving arms': 0.9411764705882353}, Overall Accuracy: 97.52066135406494%
Scenario: Complex_LOS-23-12-2022, Model: gru, Number_CIR: 12, Length_CIR: 175, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.967741935483871, 'Sitting Still': 0.9655172413793104, 'Standing Still': 1.0, 'Standing Up': 1.0, 'Walking': 1.0, 'Waving arms': 1.0}, Overall Accuracy: 99.17012453079224%
Scenario: Complex_LOS-23-12-2022, Model: gru, Number_CIR: 12, Length_CIR: 200, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.967741935483871, 'Sitting Still': 1.0, 'Standing Still': 0.9705882352941176, 'Standing Up': 0.9318181818181818, 'Walking': 1.0, 'Waving arms': 1.0}, Overall Accuracy: 97.92531132698059%
Scenario: Complex_LOS-23-12-2022, Model: gru, Number_CIR: 12, Length_CIR: 225, Accuracies: {'Empty': 1.0, 'Sitting Down': 1.0, 'Sitting Still': 0.8666666666666667, 'Standing Still': 1.0, 'Standing Up': 0.9743589743589743, 'Walking': 1.0, 'Waving arms': 0.8717948717948718}, Overall Accuracy: 95.81589698791504%
Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 8, Length_CIR: 50, Accuracies: {'Empty': 1.0, 'Sitting Down': 1.0, 'Sitting Still': 0.8823529411764706, 'Standing Still': 0.9333333333333333, 'Standing Up': 0.9318181818181818, 'Walking': 1.0, 'Waving arms': 0.8333333333333334}, Overall Accuracy: 93.80165338516235%
Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 8, Length_CIR: 75, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9655172413793104, 'Sitting Still': 1.0, 'Standing Still': 0.9666666666666667, 'Standing Up': 0.9302325581395349, 'Walking': 1.0, 'Waving arms': 0.96875}, Overall Accuracy: 97.52066135406494%
Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 8, Length_CIR: 100, Accuracies: {'Empty': 1.0, 'Sitting Down': 1.0, 'Sitting Still': 0.9696969696969697, 'Standing Still': 1.0, 'Standing Up': 0.975609756097561, 'Walking': 1.0, 'Waving arms': 0.9696969696969697}, Overall Accuracy: 98.76033067703247%
Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 8, Length_CIR: 125, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9655172413793104, 'Sitting Still': 0.9696969696969697, 'Standing Still': 1.0, 'Standing Up': 0.975609756097561, 'Walking': 1.0, 'Waving arms': 0.9411764705882353}, Overall Accuracy: 97.93388247489929%
Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 8, Length_CIR: 150, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9655172413793104, 'Sitting Still': 0.9411764705882353, 'Standing Still': 1.0, 'Standing Up': 0.975609756097561, 'Walking': 1.0, 'Waving arms': 0.9696969696969697}, Overall Accuracy: 97.93388247489929%
Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 8, Length_CIR: 175, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.9375, 'Sitting Still': 0.9642857142857143, 'Standing Still': 1.0, 'Standing Up': 0.918918918918919, 'Walking': 1.0, 'Waving arms': 1.0}, Overall Accuracy: 97.51037359237671%
Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 8, Length_CIR: 200, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.90625, 'Sitting Still': 0.8387096774193549, 'Standing Still': 1.0, 'Standing Up': 0.9714285714285714, 'Walking': 1.0, 'Waving arms': 0.8947368421052632}, Overall Accuracy: 94.60580945014954%
Scenario: Complex_LOS-23-12-2022, Model: lstm, Number_CIR: 8, Length_CIR: 225, Accuracies: {'Empty': 1.0, 'Sitting Down': 0.8928571428571429, 'Sitting Still': 0.8125, 'Standing Still': 1.0, 'Standing Up': 1.0, 'Walking': 0.972972972972973, 'Waving arms': 0.8918918918918919}, Overall Accuracy: 94.14225816726685%
